voltage_v,experimental_current_a,model_total_a,model_pf_a,model_thermionic_a,polarization_uc_cm2
5.75,-9.446192e-10,1.0717983814347973e-09,9.95699611485419e-12,1.0618413853199431e-09,15.296612796243185
5.5,-6.94736e-10,8.028053712844111e-10,8.94351801747207e-12,7.938618532669389e-10,15.296612796243185
5.25,-5.056253e-10,6.00206750828481e-10,8.025585621846854e-12,5.921811652066341e-10,15.296612796243185
5.0,-3.509725e-10,4.479178075184352e-10,7.1948686033292065e-12,4.40722938915106e-10,15.296612796243185
4.75,-2.557643e-10,3.33674566596469e-10,6.4437077580611575e-12,3.2723085883840787e-10,15.296612796243185
4.5,-1.767845e-10,2.4814437030724224e-10,5.765065049129742e-12,2.423793052581125e-10,15.296612796243185
4.25,-1.203296e-10,1.8423930369426033e-10,5.1524770899336e-12,1.7908682660432672e-10,15.296612796243185
4.0,-8.12169e-11,1.3658715125330155e-10,4.600011845876184e-12,1.3198713940742537e-10,15.296612796243185
3.75,-5.2245e-11,1.0112448374616959e-10,4.102228348420153e-12,9.702225539774943e-11,15.296612796243185
3.5,-3.21559e-11,7.478426499739275e-11,3.654139227752383e-12,7.113012576964037e-11,15.296612796243185
3.25,-1.96015e-11,5.525648027270551e-11,3.2511758818491414e-12,5.2005304390856365e-11,15.296612796243185
3.0,-1.24079e-11,4.0805075056553905e-11,2.889156110633923e-12,3.7915918945919985e-11,15.296612796243185
2.75,-7.5174e-12,3.012823673038189e-11,2.5642540542192678e-12,2.7563982676162617e-11,15.296612796243185
2.5,-3.9771e-12,2.225197446264915e-11,2.2729722839458003e-12,1.9979002178703347e-11,15.296612796243185
2.25,-2.1132e-12,1.6449230713783654e-11,2.012115904113319e-12,1.4437114809670333e-11,15.296612796243185
2.0,-1.0418e-12,1.2178530297296296e-11,1.7787685309608887e-12,1.0399761766335407e-11,15.296612796243185
1.75,-4.005795e-13,9.037549692675693e-12,1.5702700236283455e-12,7.467279669047348e-12,15.296612796243185
1.5,-1.745637e-13,6.728056728651861e-12,1.3841958495425971e-12,5.343860879109264e-12,15.296612796243185
1.25,5.01748e-14,5.0294968269229975e-12,1.2183379739443936e-12,3.811158852978604e-12,15.296612796243185
1.0,7.64001e-14,3.779140084908721e-12,1.0706871701277272e-12,2.7084529147809937e-12,15.296612796243185
0.75,1.001286e-13,2.857195409856754e-12,9.39416653426569e-13,1.917778756430185e-12,15.296612796243185
0.5,1.559759e-13,2.1756764240527876e-12,8.228669480736441e-13,1.3528094759791436e-12,15.296612796243185
0.25,1.910554e-13,1.6700945058751181e-12,7.19531901792572e-13,9.505626040825463e-13,15.296612796243185
0.0,2.280248e-13,-2.1457901560522627e-13,0.0,-2.1457901560522627e-13,15.296612796243185
