voltage_v,experimental_current_a,model_total_a,model_pf_a,model_thermionic_a,model_background_a,polarization_uc_cm2
9.0,-1.67453e-08,1.952232048706238e-08,1.807894439623869e-11,1.9500325724769204e-08,3.915817896939892e-12,13.65951464344835
9.25,-2.59294e-08,2.613459235227766e-08,2.473739672236594e-11,2.610583135526366e-08,4.02360029163473e-12,14.460520564531352
9.5,-4.13482e-08,2.614393823834844e-08,3.3975634699848166e-11,2.610583135526366e-08,4.131248384933784e-12,15.296612796243185
9.25,-3.75224e-08,2.6140669822518794e-08,3.0818067310070177e-11,2.610583135526366e-08,4.02039994506907e-12,15.296612796243185
9.0,-3.06008e-08,2.6137680367028018e-08,2.7939460259155648e-11,2.610583135526366e-08,3.9095515052043576e-12,15.296612796243185
8.75,-2.42547e-08,2.613494620725117e-08,2.531614892217078e-11,2.610583135526366e-08,3.798703065339644e-12,15.296612796243185
8.5,-1.87059e-08,2.613244562553027e-08,2.2926415641139683e-11,2.610583135526366e-08,3.6878546254749315e-12,15.296612796243185
8.25,-1.49223e-08,2.613015869504953e-08,2.0750333600265116e-11,2.610583135526366e-08,3.577006185610219e-12,15.296612796243185
8.0,-1.10291e-08,2.391103340078321e-08,1.876962286309951e-11,2.3888797620174367e-08,3.4661577457455053e-12,15.296612796243185
7.75,-8.439e-09,1.7253987308034036e-08,1.696751766059514e-11,1.723366448106756e-08,3.355309305880793e-12,15.296612796243185
7.5,-6.5918e-09,1.2423645864978171e-08,1.5328644083796084e-11,1.2405072760028359e-08,3.2444608660160792e-12,15.296612796243185
7.25,-5.2496e-09,8.926188881085522e-09,1.3838907395425719e-11,8.909216361263943e-09,3.133612426151367e-12,15.296612796243185
7.0,-4.0049e-09,6.39928474409115e-09,1.2485388231054892e-11,6.383776591873808e-09,3.0227639862866527e-12,15.296612796243185
6.75,-2.8406e-09,4.5776107258771424e-09,1.1256247013169103e-11,4.563442563317551e-09,2.911915546421941e-12,15.296612796243185
6.5,-2.1706e-09,3.2672764368310394e-09,1.0140635950530992e-11,3.2543347337739512e-09,2.801067106557227e-12,15.296612796243185
6.25,-1.6734e-09,2.3268869145218536e-09,9.128618041020323e-12,2.3150680778141406e-09,2.690218666692515e-12,15.296612796243185
6.0,-1.2556e-09,1.6535483860051798e-09,8.211092538896411e-12,1.6427579232394556e-09,2.579370226827803e-12,15.296612796243185
5.75,-9.446192e-10,1.1725466986006462e-09,7.379726387558166e-12,1.162698450426125e-09,2.4685217869630894e-12,15.296612796243185
5.5,-6.94736e-10,8.297496297296703e-10,6.626891157108233e-12,8.207650652254638e-10,2.3576733470983767e-12,15.296612796243185
5.25,-5.056253e-10,5.860255377123361e-10,5.9456050644185405e-12,5.778331077406839e-10,2.2468249072336633e-12,15.296612796243185
5.0,-3.509725e-10,4.131516939204776e-10,5.3294796998968386e-12,4.0568623775321184e-10,2.1359764673689502e-12,15.296612796243185
4.75,-2.557643e-10,2.908210103025172e-10,4.7726711827946885e-12,2.840232110922183e-10,2.0251280275042367e-12,15.296612796243185
4.5,-1.767845e-10,2.0445701036989656e-10,4.269836036303374e-12,1.9827289474595366e-10,1.9142795876395257e-12,15.296612796243185
4.25,-1.203296e-10,1.4362235764871094e-10,3.81614344717911e-12,1.3800278305375702e-10,1.8034311477748112e-12,15.296612796243185
4.0,-8.12169e-11,1.0086218821946024e-10,3.407197872544482e-12,9.576240763900567e-11,1.6925827079100988e-12,15.296612796243185
3.75,-5.2245e-11,7.086549084742024e-11,3.0390257685041654e-12,6.62447308108707e-11,1.5817342680453857e-12,15.296612796243185
3.5,-3.21559e-11,4.98584801186268e-11,2.7080676729565804e-12,4.5679526617489554e-11,1.4708858281806726e-12,15.296612796243185
3.25,-1.96015e-11,3.516678053525174e-11,2.4111151223080654e-12,3.139562802462772e-11,1.3600373883159598e-12,15.296612796243185
3.0,-1.24079e-11,2.490029231168971e-11,2.145294074211343e-12,2.1505809289027126e-11,1.2491889484512457e-12,15.296612796243185
2.75,-7.5174e-12,1.7726911138618307e-11,1.908051913344605e-12,1.4680518716687167e-11,1.138340508586534e-12,15.296612796243185
2.5,-3.9771e-12,1.2710468194252823e-11,1.6971475789671575e-12,9.985828546563843e-12,1.0274920687218212e-12,15.296612796243185
2.25,-2.1132e-12,9.194971515652551e-12,1.5106448065490963e-12,6.767683080246348e-12,9.16643628857108e-13,15.296612796243185
2.0,-1.0418e-12,6.722145179531964e-12,1.3469085582139658e-12,4.5694414323256036e-12,8.05795188992395e-13,15.296612796243185
1.75,-4.005795e-13,4.9728527616389794e-12,1.2046047550781836e-12,3.0733012574331134e-12,6.94946749127682e-13,15.296612796243185
1.5,-1.745637e-13,3.725607473144612e-12,1.08270345506e-12,2.0588057088216427e-12,5.840983092629692e-13,15.296612796243185
1.25,5.01748e-14,2.8272729519746163e-12,9.804856492823963e-13,1.3735374332939637e-12,4.73249869398256e-13,15.296612796243185
1.0,7.64001e-14,2.17243759899889e-12,8.975538806370994e-13,9.124822888282472e-13,3.624014295335432e-13,15.296612796243185
0.75,1.001286e-13,1.6889427409745375e-12,8.338469200682897e-13,6.035428312374177e-13,2.5155298966883024e-13,15.296612796243185
0.5,1.559759e-13,1.3277644759016494e-12,7.896587700151655e-13,3.9740115608236695e-13,1.407045498041171e-13,15.296612796243185
0.25,1.910554e-13,1.0559668264516908e-12,7.656623004648293e-13,2.6044841604745696e-13,2.985610993940462e-14,15.296612796243185
0.0,2.280248e-13,8.887751961772467e-14,0.0,1.6986984954303338e-13,-8.09923299253087e-14,15.296612796243185
