voltage_v,experimental_current_a,model_total_a,model_pf_a,model_thermionic_a,polarization_uc_cm2
5.25,-1.24506e-11,3.818115442178299e-12,1.7129733893130305e-12,2.1051420528652684e-12,0.6421145811444104
5.5,-2.90187e-11,5.131899002991928e-12,1.7786960138317608e-12,3.3532029891601672e-12,1.3746911065235095
5.75,-5.5206e-11,7.595728383764294e-12,1.7030028764323195e-12,5.8927255073319746e-12,2.429220549569295
6.0,-1.029157e-10,1.0658173363037038e-11,1.7660507667455317e-12,8.892122596291506e-12,3.1670727621197288
6.25,-1.608126e-10,1.5701292901652485e-11,1.757339160715574e-12,1.3943953740936912e-11,4.068726629897664
6.5,-2.316351e-10,2.274709777068355e-11,1.7755939664186985e-12,2.0971503804264855e-11,4.909648224180935
6.75,-3.75288e-10,3.132275080296231e-11,1.867228190578977e-12,2.945552261238333e-11,5.590785565684131
7.0,-6.157396e-10,4.934040136507504e-11,1.7364034396178866e-12,4.7603997925457155e-11,6.762306853581124
7.25,-8.639535e-10,6.956040673851343e-11,1.765244582485779e-12,6.779516215602767e-11,7.578903263335745
7.5,-1.2674e-09,9.555348772906568e-11,1.823141599783481e-12,9.373034612928219e-11,8.332345028179699
7.75,-2.0226e-09,1.3877627477717612e-10,1.776077016263494e-12,1.370001977609126e-10,9.318581618730315
8.0,-3.0518e-09,1.9446267914211128e-10,1.7726798824987988e-12,1.9268999925961249e-10,10.20820029512024
8.25,-4.5241e-09,2.5024332478386477e-10,1.9046442067715524e-12,2.483386805770932e-10,10.803229116530149
8.5,-8.7346e-09,3.576937015089841e-10,1.8369977889350048e-12,3.558567037200491e-10,11.830113324910778
8.75,-1.16194e-08,4.904100352839531e-10,1.8301460873949816e-12,4.885798891965582e-10,12.72704700865166
9.0,-1.67453e-08,6.731827405640637e-10,1.8071508970952559e-12,6.713755896669685e-10,13.65951464344835
9.25,-2.59294e-08,8.890951412186513e-10,1.844181311178694e-12,8.872509599074726e-10,14.460520564531352
9.5,-4.13482e-08,1.1772302182144293e-09,1.865460661671524e-12,1.175364757552758e-09,15.296612796243185
9.25,-3.75224e-08,1.0831814420660184e-09,1.4916679155512934e-12,1.081689774150467e-09,15.296612796243185
9.0,-3.06008e-08,9.961464979777095e-10,1.1842586615334842e-12,9.94962239316176e-10,15.296612796243185
8.75,-2.42547e-08,9.156356051366149e-10,9.328663178091309e-13,9.147027388188058e-10,15.296612796243185
8.5,-1.87059e-08,8.411911921524978e-10,7.285418262675333e-13,8.404626503262303e-10,15.296612796243185
8.25,-1.49223e-08,7.72385884998327e-10,5.635839032467772e-13,7.718223010950802e-10,15.296612796243185
8.0,-1.10291e-08,7.088206156279848e-10,4.313871594826575e-13,7.083892284685021e-10,15.296612796243185
7.75,-8.439e-09,6.501228442480088e-10,3.2630642552539303e-13,6.497965378224835e-10,15.296612796243185
7.5,-6.5918e-09,5.95944888619925e-10,2.4353575689878174e-13,5.957013528630262e-10,15.296612796243185
7.25,-5.2496e-09,5.459623541466947e-10,1.79000721011931e-13,5.457833534256829e-10,15.296612796243185
7.0,-4.0049e-09,4.998726588533298e-10,1.2926268599912241e-13,4.997433961673306e-10,15.296612796243185
6.75,-2.8406e-09,4.5739364770781054e-10,9.143394092318951e-14,4.573022137668874e-10,15.296612796243185
6.5,-2.1706e-09,4.1826229104610454e-10,6.310257777670243e-14,4.181991884683279e-10,15.296612796243185
6.25,-1.6734e-09,3.82233462165274e-10,4.22661591093003e-14,3.821911960061647e-10,15.296612796243185
6.0,-1.2556e-09,3.49078789431803e-10,2.7273281648204304e-14,3.4905151615015476e-10,15.296612796243185
5.75,-9.446192e-10,3.1858557852132665e-10,1.6772227048582577e-14,3.185688062942781e-10,15.296612796243185
5.5,-6.94736e-10,2.9055580066180155e-10,9.665968139399865e-15,2.9054613469366213e-10,15.296612796243185
5.25,-5.056253e-10,2.6480514300329583e-10,5.072879192295864e-15,2.6480007012410357e-10,15.296612796243185
5.0,-3.509725e-10,2.411621175084819e-10,2.292607158737847e-15,2.4115982490132316e-10,15.296612796243185
4.75,-2.557643e-10,2.1946722518729472e-10,7.768352012477503e-16,2.1946644835209347e-10,15.296612796243185
4.5,-1.767845e-10,1.9957217443424924e-10,1.0645712293311422e-16,1.995720679771263e-10,15.296612796243185
4.25,-1.203296e-10,1.8133903451469728e-10,-1.4117136917678912e-16,1.8133917568606648e-10,15.296612796243185
4.0,-8.12169e-11,1.6463908229207754e-10,-8.7432705284476435e-16,1.6463995661913036e-10,15.296612796243185
3.75,-5.2245e-11,1.4935317222128958e-10,-2.4859760194613253e-15,1.4935565819730905e-10,15.296612796243185
3.5,-3.21559e-11,1.3537059077821616e-10,-5.4063863657575926e-15,1.353759971645819e-10,15.296612796243185
3.25,-1.96015e-11,1.225884058687501e-10,-1.0196632483875277e-14,1.2259860250123397e-10,15.296612796243185
3.0,-1.24079e-11,1.1091091992298365e-10,-1.7572274386513456e-14,1.1092849219737017e-10,15.296612796243185
2.75,-7.5174e-12,1.0024914893373276e-10,-2.843304673625719e-14,1.0027758198046901e-10,15.296612796243185
2.5,-3.9771e-12,9.052032675127128e-11,-4.38974392085324e-14,9.056422419047981e-11,15.296612796243185
2.25,-2.1132e-12,8.164743261015175e-11,-6.534248058003956e-14,8.171277509073179e-11,15.296612796243185
2.0,-1.0418e-12,7.35587397107133e-11,-9.44492824066634e-14,7.365318899311998e-11,15.296612796243185
1.75,-4.005795e-13,6.618738266018172e-11,-1.3325500156466673e-13,6.632063766174637e-11,15.296612796243185
1.5,-1.745637e-13,5.94709415804926e-11,-1.8421196028051483e-13,5.965515354077312e-11,15.296612796243185
1.25,5.01748e-14,5.3351040690028614e-11,-2.5025473966521127e-13,5.360129542969383e-11,15.296612796243185
1.0,7.64001e-14,4.777295915895081e-11,-3.348761439990514e-13,4.810783530294986e-11,15.296612796243185
0.75,1.001286e-13,4.268525202062978e-11,-4.4221302013822e-13,4.3127465040768e-11,15.296612796243185
0.5,1.559759e-13,3.803937889421617e-11,-5.771430104718858e-13,3.8616521904688056e-11,15.296612796243185
0.25,1.910554e-13,3.378933823475597e-11,-7.453934195822359e-13,3.4534731654338206e-11,15.296612796243185
0.0,2.280248e-13,2.1784559109518677e-11,-9.536634848030202e-13,2.2738222594321698e-11,15.296612796243185
