sweep_name,segment_label,voltage_v,experimental_current_a,model_total_a,model_thermionic_weighted_a,model_pf_fe_weighted_a,model_pf_il_weighted_a,model_background_weighted_a,base_thermionic_a,base_pf_fe_a,base_pf_il_a,base_background_a,current_floor_a,weight_thermionic,weight_pf_fe,weight_pf_il,weight_background,top_effective_barrier_ev,bottom_effective_barrier_ev,pf_fe_activation_ev,pf_il_activation_ev
1st2KB_B64-T51,-V→0,-7.5,7.3611679252128e-11,4.791398163047396e-11,1.3438867901573726e-19,2.9726944141477022e-18,4.784401088798828e-11,7.640099490160047e-20,1.0849878838172854e-17,1.8555910729087674e-14,1.300027200940787e-15,2.837801527015319e-16,0.012386191681968002,0.00016020202174651542,36802.31525414633,0.0002692259982746427,6.996755900158662e-14,0.09000074873849517,0.4788742788554672,0.31527404096708594,0.252415801574168
1st2KB_B64-T51,-V→0,-7.25,5.35862534900566e-11,3.446726244382527e-11,5.346384860681592e-20,2.2263612687090235e-18,3.439729253114427e-11,7.385429507154712e-20,4.316407333228128e-18,1.3897210811931901e-14,9.346502331064322e-16,2.743208142781475e-16,0.012386191681968002,0.00016020202174651542,36802.31525414633,0.0002692259982746427,6.996755900158662e-14,0.10222489977964833,0.502702855350913,0.32187143680845737,0.2600697136588708
1st2KB_B64-T51,-V→0,-7.0,4.15831188926852e-11,2.464349951768489e-11,2.0931213286383896e-20,1.6580451919739054e-18,2.4573530208399303e-11,7.130759524149377e-20,1.6898828811809735e-18,1.0349714528555691e-14,6.677169639654866e-16,2.648614758547631e-16,0.012386191681968002,0.00016020202174651542,36802.31525414633,0.0002692259982746427,6.996755900158662e-14,0.11466169258784842,0.5269459351190315,0.3285835957859267,0.26785676720959734
1st2KB_B64-T51,-V→0,-6.75,2.67706221773745e-11,1.750805885224563e-11,8.057284399793408e-21,1.2274691862369888e-18,1.743808998895668e-11,6.876089541144042e-20,6.505053858905897e-19,7.662008087383502e-15,4.738313301360033e-16,2.554021374313787e-16,0.012386191681968002,0.00016020202174651542,36802.31525414633,0.0002692259982746427,6.996755900158662e-14,0.12732262585959975,0.5516259326054829,0.3354167237662444,0.2757841619093222
1st2KB_B64-T51,-V→0,-6.5,1.89723532023622e-11,1.2356922791265445e-11,3.046711493587796e-21,9.029890664190783e-19,1.2286954260013886e-11,6.621419558138707e-20,2.4597645279648324e-19,5.636564736042224e-15,3.338636217630242e-16,2.459427990079943e-16,0.012386191681968002,0.00016020202174651542,36802.31525414633,0.0002692259982746427,6.996755900158662e-14,0.1402202735648932,0.5767673582899533,0.3423776069431549,0.28385977070239493
1st2KB_B64-T51,-V→0,-6.25,1.26037678557789e-11,8.662312162257252e-12,1.1304999731168829e-21,6.598423572805817e-19,8.592343878615312e-12,6.366749575133372e-20,9.12709896749524e-20,4.11881417030203e-15,2.334729165618801e-16,2.364834605846099e-16,0.012386191681968002,0.00016020202174651542,36802.31525414633,0.0002692259982746427,6.996755900158662e-14,0.15336843121733568,0.6023971038109848,0.3494736907796433,0.2920922313787083
1st2KB_B64-T51,-V→0,-6.0,9.42270046710991e-12,6.030552733271628e-12,4.1115819095733453e-22,4.7873311534756875e-19,5.960584634004972e-12,6.112079592128037e-20,3.3194883586042397e-20,2.9883088248727532e-15,1.6196221875832726e-16,2.270241221612255e-16,0.012386191681968002,0.00016020202174651542,36802.31525414633,0.0002692259982746427,6.996755900158662e-14,0.16678228876633094,0.6285447789852514,0.3567131733181494,0.30049105482674154
1st2KB_B64-T51,-V→0,-5.75,6.47078918225574e-12,4.1695544292207035e-12,1.4638503453017201e-22,3.4469175039818666e-19,4.099586466806885e-12,5.857409609122702e-20,1.181840538955016e-20,2.151606744037137e-15,1.113947978135698e-16,2.1756478373784112e-16,0.012386191681968002,0.00016020202174651542,36802.31525414633,0.0002692259982746427,6.996755900158662e-14,0.18047863628442096,0.655243112754549,0.3641051161903884,0.30906675382064974
1st2KB_B64-T51,-V→0,-5.5,4.76890315431744e-12,2.863811425964949e-12,5.094756882035929e-23,2.4615936787970895e-19,2.7938435647256508e-12,5.602739626117367e-20,4.113255319189796e-21,1.5365559385336732e-15,7.591488593671787e-17,2.0810544531445672e-16,0.012386191681968002,0.00016020202174651542,36802.31525414633,0.0002692259982746427,6.996755900158662e-14,0.1944761103894722,0.6825284335373469,0.3716595776118384,0.31783099731267556
1st2KB_B64-T51,-V→0,-5.25,3.31491865207534e-12,1.95526531696208e-12,1.7306482258591416e-23,1.7425490621774784e-19,1.8852975302075845e-12,5.348069643112032e-20,1.3972399832780276e-21,1.0877197698133175e-15,5.12276881817966e-17,1.9864610689107232e-16,0.012386191681968002,0.00016020202174651542,36802.31525414633,0.0002692259982746427,6.996755900158662e-14,0.2087954917182856,0.7104412490950398,0.3793877729287717,0.3267967966904076
