index,segment_index,voltage_v,polarization_uc_cm2,polarization_change_uc_cm2,screening_charge_uc_cm2,fe_field_mv_cm,il_field_mv_cm,residual_mv_cm,converged,used_fallback,j_total_uA_per_um2,j_thermionic_uA_per_um2,j_tunneling_uA_per_um2,j_pf_uA_per_um2,j_tat_uA_per_um2,j_sclc_uA_per_um2,top_barrier_ev,bottom_barrier_ev,tunneling_transmission,trap_tunneling_transmission
40,0,-10.0,-21.010511366717758,0.0,-23.185016483349912,-1.5349411223678129,-28.156309509300534,-0.9428864118873583,1,0,-4.215411517687564e-15,-6.085859619527904e-49,-3.0551140024856686e-107,-4.215411517687564e-15,-8.35250307749885e-87,0.0,3.1697288968003834,3.2124664729285315,8.804588625361538e-117,6.589899074024275e-90
41,0,-9.75,-21.010511366717758,0.0,-23.10948454182674,-1.4816245850971346,-28.064582133350978,0.9553891518664833,1,0,-3.75743444873152e-15,-5.837667746886373e-49,-1.6592353339038265e-111,-3.75743444873152e-15,-4.242898659640613e-90,0.0,3.1708052868575067,3.2145257909123734,4.781780495196469e-121,3.419452470869634e-93
42,0,-9.5,-21.010511366717758,0.0,-23.033952600303564,-1.4283080478264532,-27.972854757401418,0.928730883231138,1,0,-3.340041338557147e-15,-5.599216252772225e-49,-4.31163058506604e-116,-3.340041338557147e-15,-1.2234522186861535e-93,0.0,3.1718834374143214,3.2166225068941543,1.2425766624468689e-125,1.0076581674069313e-96
43,0,-9.25,-21.010511366717758,0.0,-22.95842065878039,-1.374991510555775,-27.881127381451865,0.9020726145958027,1,0,-2.9603490015647946e-15,-5.37013728352946e-49,-4.944995724135122e-121,-2.9603490015647946e-15,-1.880705086009789e-97,0.0,3.172963357137393,3.2187587355271465,1.4251073141544995e-130,1.5837573125216627e-100
44,0,-9.0,-21.010511366717758,0.0,-22.882888717257213,-1.3216749732850932,-27.789400005502305,0.8754143459604626,1,0,-2.6156384594479795e-15,-5.150076354622986e-49,-2.266409417729995e-126,-2.6156384594479795e-15,-1.4247235307084642e-101,0.0,3.1740450547646275,3.220936798597911,6.5316065336751336e-136,1.2273238477412948e-104
45,0,-8.75,-21.010511366717758,0.0,-22.80735677573404,-1.2683584360144151,-27.697672629552752,0.8487560773251285,1,0,-2.303347333022134e-15,-4.9386918830055646e-49,-3.69511366573012e-132,-2.303347333022134e-15,-4.851649941196782e-106,0.0,3.175128539106096,3.2231592545953283,1.0649015298360543e-141,4.277674871984783e-109
46,0,-8.5,-21.010511366717758,0.0,-22.73182483421087,-1.2150418987437368,-27.6059452536032,0.8220978086897863,1,0,-2.021062527123355e-15,-4.73565473522983e-49,-1.8692359353580987e-138,-2.021062527123355e-15,-6.724174561759013e-111,0.0,3.176213819044872,3.2254289339387845,5.386985049062226e-148,6.07137460069955e-114
47,0,-8.25,-21.010511366717758,0.0,-22.65629289268769,-1.1617253614730552,-27.51421787765364,0.7954395400544386,1,0,-1.7665131991399813e-15,-4.540647790795681e-49,-2.4971582033064453e-145,-1.7665131991399813e-15,-3.338370359655538e-116,0.0,3.1773009035378807,3.2277489812484377,7.1966056568336916e-155,3.0886165459803714e-119
48,0,-8.0,-21.010511366717758,0.0,-22.580760951164518,-1.1084088242023773,-27.422490501704083,0.7687812714191035,1,0,-1.5375640020432282e-15,-4.353365520237912e-49,-7.283567113563126e-153,-1.5375640020432282e-15,-5.119542978783932e-122,0.0,3.1783898016167624,3.2301229064585595,2.0990644574297224e-162,4.856309573377624e-125
49,0,-7.75,-21.010511366717758,0.0,-22.505229009641347,-1.055092286931699,-27.33076312575453,0.7421230027837613,1,0,-1.3322085930952974e-15,-4.173513577475569e-49,-6.948560958873067e-161,-1.3322085930952974e-15,-2.0350419688819678e-128,0.0,3.179480522388747,3.2325546471460087,2.0025184242338943e-170,1.9804871847583382e-131
50,0,-7.5,-21.010511366717758,0.0,-22.429697068118166,-1.0017757496610171,-27.23903574980497,0.7154647341484279,1,0,-1.1485633997394137e-15,-4.000808405958762e-49,-1.9694779836400842e-167,-1.1485633997394137e-15,-1.685551889598773e-135,0.0,3.1805730750375427,3.235048645236668,5.67587443170668e-177,1.6840566580789146e-138
51,0,-7.25,-21.010511366717758,0.0,-22.354165126594992,-0.9484592123903389,-27.147308373855413,0.6888064655130869,1,0,-9.84861634525423e-16,-3.834976858163055e-49,-3.146275327547031e-173,-9.84861634525423e-16,-2.2381238329173435e-143,0.0,3.1816674688242395,3.2376099423642057,9.067308106551152e-183,2.2973268505545457e-146
52,0,-7.0,-21.010511366717758,0.0,-22.27863318507182,-0.8951426751196608,-27.055580997905864,0.6621481968777517,1,0,-8.394475513122376e-16,-3.675755827996763e-49,-1.413390115435599e-178,-8.394475513122376e-16,-3.777684465115402e-152,0.0,3.1827637130882227,3.2402442997437007,4.0732746874381437e-188,3.9867019140148655e-155
53,0,-6.75,-21.010511366717758,0.0,-22.203101243548648,-0.8418261378489827,-26.963853621956307,0.6354899282424076,1,0,-7.1077093543878035e-16,-3.5228918956982564e-49,-1.343935897257793e-183,-7.1077093543878035e-16,-1.839953427953192e-159,0.0,3.1838618172481064,3.242958350733388,3.873113312493e-193,1.9979664639812552e-162
54,0,-6.5,-21.010511366717758,0.0,-22.127569302025474,-0.7885096005783028,-26.87212624600675,0.6088316596070638,1,0,-5.973818211023241e-16,-3.3761409848168807e-49,-2.30268479050833e-188,-5.973818211023241e-16,-9.505975552033898e-166,0.0,3.1849617908026726,3.2457597976877715,6.636149190441794e-198,1.0630052585639132e-168
55,0,-6.25,-21.010511366717758,0.0,-22.052037360502297,-0.7351930633076229,-26.780398870057194,0.5821733909717277,1,0,-4.979254298913704e-16,-3.2352680308785818e-49,-6.402022275324752e-193,-4.979254298913704e-16,-1.7368312707031123e-171,0.0,3.186063643331835,3.2486576699119185,1.8450104467059057e-202,2.0018882133984177e-174
56,0,-6.0,-21.010511366717758,0.0,-21.976505418979126,-0.6818765260369447,-26.688671494107645,0.5555151223363902,1,0,-4.1113732538817395e-16,-3.1000466613567046e-49,-2.682267563706462e-197,-4.1113732538817395e-16,-7.691587308021156e-177,0.0,3.187167384497608,3.251662667630869,7.730075690259583e-207,9.146435173983991e-180
57,0,-5.75,-21.010511366717758,0.0,-21.900973477455953,-0.6285599887662666,-26.59694411815809,0.5288568537010561,1,0,-3.3583878016164295e-16,-2.9702588865742396e-49,-1.6027339679515809e-201,-3.3583878016164295e-16,-6.735290055658565e-182,0.0,3.1882730240450994,3.254787629865394,4.618948180731023e-211,8.271466942720309e-185
58,0,-5.5,-21.010511366717758,0.0,-21.825441535932775,-0.5752434514955849,-26.50521674220853,0.5021985850657105,1,0,-2.709323536280386e-16,-2.8456948011794184e-49,-1.3087915120061305e-205,-2.709323536280386e-16,-1.0252050443910023e-186,0.0,3.1893805718035106,3.2580481855696592,3.7718300692554806e-215,1.3016464768257133e-189
59,0,-5.25,-21.010511366717758,0.0,-21.7499095944096,-0.5219269142249067,-26.413489366258975,0.47554031643036615,1,0,-2.1539768274925094e-16,-2.72615229584647e-49,-1.4117638885321326e-209,-2.1539768274925094e-16,-2.4808718795253473e-191,0.0,3.190490037687158,3.2614636842369578,4.0685880345391455e-219,3.260172162457376e-194
60,0,-5.0,-21.010511366717758,0.0,-21.67437765288643,-0.4686103769542286,-26.32176199030942,0.448882047795032,1,0,-1.6828749349963732e-16,-2.6114367788642586e-49,-1.9565516712019133e-213,-1.6828749349963732e-16,-8.938074682154345e-196,0.0,3.1916014316965082,3.265058568256276,5.638621856723097e-223,1.2172152427100702e-198
61,0,-4.75,-21.010511366717758,0.0,-21.598845711363253,-0.4152938396835469,-26.23003461435986,0.4152938396835469,1,0,-1.2872385177749846e-16,-2.501360907287186e-49,-3.404473706099804e-217,-1.2872385177749846e-16,-4.5592901689287106e-200,0.0,3.1927147639192297,3.2688644740312314,9.811414711097801e-227,6.442888453394451e-203
62,0,-4.5,-21.010511366717758,0.0,-21.52331376984008,-0.36197730241286874,-26.138307238410306,0.36197730241286874,1,0,-9.589469299382183e-17,-2.3957443273318974e-49,-7.2944732746858825e-221,-9.589469299382183e-17,-3.1644687547142913e-204,0.0,3.1938300445312597,3.2729235993248413,2.102207523845236e-230,4.646874436318641e-207
63,0,-4.25,-21.010511366717758,0.0,-21.44778182831691,-0.30866076514219054,-26.046579862460753,0.30866076514219054,1,0,-6.905071170507032e-17,-2.2944134237138183e-49,-1.8928080003418023e-224,-6.905071170507032e-17,-2.8937700676986047e-208,0.0,3.1949472837978927,3.2772944168746374,5.454917811984637e-234,4.422490755095246e-211
64,0,-4.0,-21.010511366717758,0.0,-21.37224988679373,-0.2553442278715089,-25.95485248651119,0.2553442278715089,1,0,-4.750278658829927e-17,-2.1972010776283542e-49,-5.863437458764061e-228,-4.750278658829927e-17,-3.394849199323448e-212,0.0,3.1960664920748787,3.282062108190517,1.689794708575527e-237,5.408634737707863e-215
65,0,-3.75,-21.010511366717758,0.0,-21.296717945270554,-0.20202769060083073,-25.86312511056164,0.20202769060083073,1,0,-3.062034932780008e-17,-2.103946433088767e-49,-2.14137134111147e-231,-3.062034932780008e-17,-4.996305097674646e-216,0.0,3.1971876798095464,3.2873595913517355,6.171257025854201e-241,8.313128119664623e-219
66,0,-3.5,-21.010511366717758,0.0,-21.22118600374738,-0.14871115333015256,-25.771397734612083,0.14871115333015256,1,0,-1.7831777248565056e-17,-2.0144946713442304e-49,-9.118885694866943e-235,-1.7831777248565056e-17,-9.050314574241927e-220,0.0,3.198310857541939,3.293416295591558,2.6279882583653e-244,1.575733733933854e-222
67,0,-3.25,-21.010511366717758,0.0,-21.14565406222421,-0.09539461605947264,-25.679670358662527,0.09539461605947264,1,0,-8.630295932556543e-18,-1.9286967931088307e-49,-4.483977043474179e-238,-8.630295932556543e-18,-1.9847974341237246e-223,0.0,3.1994360359059706,3.3006993104723197,1.292245501844909e-247,3.623894813841158e-226
68,0,-3.0,-21.010511366717758,0.0,-21.070122120701033,-0.042078078788792724,-25.58794298271297,0.042078078788792724,1,0,-2.601609971923963e-18,-1.8464094083414906e-49,-2.5239312775703064e-241,-2.601609971923963e-18,-5.194843615220208e-227,0.0,3.2005632256306025,3.310539954127732,7.273763466636456e-251,9.970161969548721e-230
69,0,-2.75,-21.010511366717758,0.0,-20.99459017917786,0.011238458481885436,-25.496215606763414,-0.011238458481885436,1,0,-4.82979988343816e-19,-1.7674945333255054e-49,-1.6135953907470063e-244,-4.82979988343816e-19,-1.6387197565065148e-230,0.0,3.201692437541034,3.3199429807549192,4.6502499126867015e-254,3.241015494934066e-233
70,0,-2.5,-21.010511366717758,0.0,-20.919058237654685,0.06455499575256536,-25.40448823081386,-0.06455499575256536,1,0,-4.776649962457541e-18,-1.691819394803242e-49,-1.1634797694078581e-247,-4.776649962457541e-18,-6.553871574907568e-234,0.0,3.202823682559918,3.3058964596471254,3.353053514609312e-257,1.2312884916339044e-236
71,0,-2.25,-21.010511366717758,0.0,-20.84352629613151,0.11787153302324352,-25.312760854864308,-0.11787153302324352,1,0,-1.2101412075949854e-17,-1.6192562409310382e-49,-9.401604963315487e-251,-1.2101412075949854e-17,-3.0260428958766707e-237,0.0,3.2039569717085907,3.29742980382329,2.7094656386898093e-260,5.41393676551159e-240
72,0,-2.0,-21.010511366717758,0.0,-20.767994354608334,0.17118807029392516,-25.221033478914748,-0.17118807029392516,1,0,-2.2758105711941693e-17,-1.5496821588251246e-49,-8.464590550194308e-254,-2.2758105711941693e-17,-1.599406190460138e-240,0.0,3.205092316108328,3.290748825489724,2.4394257502648846e-263,2.731254238371376e-243
73,0,-1.75,-21.010511366717758,0.0,-20.69246241308516,0.22450460756460333,-25.12930610296519,-0.22450460756460333,1,0,-3.7206765159068133e-17,-1.4829788984783983e-49,-8.44638540443353e-257,-3.7206765159068133e-17,-9.603703386381128e-244,0.0,3.2062297269816162,3.285050119890228,2.4341791761875188e-266,1.568585912548222e-246
74,0,-1.5,-21.010511366717758,0.0,-20.61693047156199,0.27782114483528153,-25.03757872701564,-0.27782114483528153,1,0,-5.598290826789262e-17,-1.4190327028339924e-49,-9.295845030420124e-260,-5.598290826789262e-17,-6.506101260864032e-247,0.0,3.207369215653446,3.279996712674769,2.6789864912199637e-269,1.0183117233832762e-249
75,0,-1.25,-21.010511366717758,0.0,-20.541398530038812,0.33113768210596317,-24.94585135106608,-0.33113768210596317,1,0,-7.968327452207053e-17,-1.3577341438083118e-49,-1.1233663598564453e-262,-7.968327452207053e-17,-4.9417971891609304e-250,0.0,3.208510793552631,3.2754091054774115,3.23744994984103e-272,7.424922689203153e-253
76,0,-1.0,-21.010511366717758,0.0,-20.465866588515638,0.38445421937664137,-24.854123975116522,-0.38445421937664137,1,0,-1.0896300911876412e-16,-1.2989779640642315e-49,-1.4845006893161483e-265,-1.0896300911876412e-16,-4.184562327438328e-253,0.0,3.209654472213142,3.271178211636987,4.278209544017052e-275,6.045071435186138e-256
